Aruba,ABW,Latin America & Caribbean,Aruba,
Afghanistan,AFG,South Asia,Afghanistan,Asie du Sud
Angola,AGO,Sub-Saharan Africa,Angola,Afrique subsaharienne
Albania,ALB,Europe & Central Asia,Albanie,Europe et Asie centrale
Andorra,AND,Europe & Central Asia,Andorre,
Arab World,ARB,,Le monde arabe,
United Arab Emirates,ARE,Middle East & North Africa,Émirats arabes unis,
Argentina,ARG,Latin America & Caribbean,Argentine,
Armenia,ARM,Europe & Central Asia,Arménie,Europe et Asie centrale
American Samoa,ASM,East Asia & Pacific,Samoa américaines,Asie de l’Est et Pacifique
Antigua and Barbuda,ATG,Latin America & Caribbean,Antigua-et-Barbuda,
Australia,AUS,East Asia & Pacific,Australie,
Austria,AUT,Europe & Central Asia,Autriche,
Azerbaijan,AZE,Europe & Central Asia,Azerbaïdjan,Europe et Asie centrale
Burundi,BDI,Sub-Saharan Africa,Burundi,Afrique subsaharienne
Belgium,BEL,Europe & Central Asia,Belgique,
Benin,BEN,Sub-Saharan Africa,Bénin,Afrique subsaharienne
Burkina Faso,BFA,Sub-Saharan Africa,Burkina Faso,Afrique subsaharienne
Bangladesh,BGD,South Asia,Bangladesh,Asie du Sud
Bulgaria,BGR,Europe & Central Asia,Bulgarie,Europe et Asie centrale
Bahrain,BHR,Middle East & North Africa,Bahreïn,
"Bahamas, The",BHS,Latin America & Caribbean,Bahamas,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Bosnie-Herzégovine,Europe et Asie centrale
Belarus,BLR,Europe & Central Asia,Bélarus,Europe et Asie centrale
Belize,BLZ,Latin America & Caribbean,Belize,Amérique latine et Caraïbes
Bermuda,BMU,North America,Bermudes,
Bolivia,BOL,Latin America & Caribbean,Bolivie,Amérique latine et Caraïbes
Brazil,BRA,Latin America & Caribbean,Brésil,Amérique latine et Caraïbes
Barbados,BRB,Latin America & Caribbean,Barbade,
Brunei Darussalam,BRN,East Asia & Pacific,Brunéi Darussalam,
Bhutan,BTN,South Asia,Bhoutan,Asie du Sud
Botswana,BWA,Sub-Saharan Africa,Botswana,Afrique subsaharienne
Central African Republic,CAF,Sub-Saharan Africa,République centrafricaine,Afrique subsaharienne
Canada,CAN,North America,Canada,
Central Europe and the Baltics,CEB,,,
Switzerland,CHE,Europe & Central Asia,Suisse,
Channel Islands,CHI,Europe & Central Asia,Îles Anglo-Normandes,
Chile,CHL,Latin America & Caribbean,Chili,
China,CHN,East Asia & Pacific,Chine,Asie de l’Est et Pacifique
Côte d'Ivoire,CIV,Sub-Saharan Africa,Côte d'Ivoire,Afrique subsaharienne
Cameroon,CMR,Sub-Saharan Africa,Cameroun,Afrique subsaharienne
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,"Congo, République démocratique du",Afrique subsaharienne
"Congo, Rep.",COG,Sub-Saharan Africa,"Congo, République du",Afrique subsaharienne
Colombia,COL,Latin America & Caribbean,Colombie,Amérique latine et Caraïbes
Comoros,COM,Sub-Saharan Africa,Comores,Afrique subsaharienne
Cabo Verde,CPV,Sub-Saharan Africa,Cabo Verde ,Afrique subsaharienne
Costa Rica,CRI,Latin America & Caribbean,Costa Rica,Amérique latine et Caraïbes
Caribbean small states,CSS,,Petits états des Caraïbes,
Cuba,CUB,Latin America & Caribbean,Cuba,Amérique latine et Caraïbes
Curaçao,CUW,Latin America & Caribbean,Curacao,
Cayman Islands,CYM,Latin America & Caribbean,Îles Caïmans,
Cyprus,CYP,Europe & Central Asia,Chypre,
Czech Republic,CZE,Europe & Central Asia,République tchèque,
Germany,DEU,Europe & Central Asia,Allemagne,
Djibouti,DJI,Middle East & North Africa,Djibouti,Moyen-Orient et Afrique du Nord
Dominica,DMA,Latin America & Caribbean,Dominique,Amérique latine et Caraïbes
Denmark,DNK,Europe & Central Asia,Danemark,
Dominican Republic,DOM,Latin America & Caribbean,République dominicaine,Amérique latine et Caraïbes
Algeria,DZA,Middle East & North Africa,Algérie,Moyen-Orient et Afrique du Nord
East Asia & Pacific,EAP,,Asie de l’Est et Pacifique,
East Asia & Pacific (all income levels),EAS,,Asie de l’Est et Pacifique (tous niveaux de revenu),
Europe & Central Asia,ECA,,Europe et Asie centrale,
Europe & Central Asia (all income levels),ECS,,Europe et Asie centrale (tous niveaux de revenu),
Ecuador,ECU,Latin America & Caribbean,Équateur,Amérique latine et Caraïbes
"Egypt, Arab Rep.",EGY,Middle East & North Africa,"Égypte, République arabe d’",Moyen-Orient et Afrique du Nord
Euro area,EMU,,Zone euro,
Eritrea,ERI,Sub-Saharan Africa,Érythrée,Afrique subsaharienne
Spain,ESP,Europe & Central Asia,Espagne,
Estonia,EST,Europe & Central Asia,Estonie,
Ethiopia,ETH,Sub-Saharan Africa,Éthiopie,Afrique subsaharienne
European Union,EUU,,Union européenne,
Fragile and conflict affected situations,FCS,,,
Finland,FIN,Europe & Central Asia,Finlande,
Fiji,FJI,East Asia & Pacific,Fidji,Asie de l’Est et Pacifique
France,FRA,Europe & Central Asia,France,
Faeroe Islands,FRO,Europe & Central Asia,Îles Féroé,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,"Micronésie, États fédérés de",Asie de l’Est et Pacifique
Gabon,GAB,Sub-Saharan Africa,Gabon,Afrique subsaharienne
United Kingdom,GBR,Europe & Central Asia,Royaume-Uni,
Georgia,GEO,Europe & Central Asia,Géorgie,Europe et Asie centrale
Ghana,GHA,Sub-Saharan Africa,Ghana,Afrique subsaharienne
Guinea,GIN,Sub-Saharan Africa,Guinée,Afrique subsaharienne
"Gambia, The",GMB,Sub-Saharan Africa,Gambie,Afrique subsaharienne
Guinea-Bissau,GNB,Sub-Saharan Africa,Guinée-Bissau,Afrique subsaharienne
Equatorial Guinea,GNQ,Sub-Saharan Africa,Guinée équatoriale,
Greece,GRC,Europe & Central Asia,Grèce,
Grenada,GRD,Latin America & Caribbean,Grenade,Amérique latine et Caraïbes
Greenland,GRL,Europe & Central Asia,Groenland,
Guatemala,GTM,Latin America & Caribbean,Guatemala,Amérique latine et Caraïbes
Guam,GUM,East Asia & Pacific,Guam,
Guyana,GUY,Latin America & Caribbean,Guyane,Amérique latine et Caraïbes
High income,HIC,,Revenu élevé,
"Hong Kong SAR, China",HKG,East Asia & Pacific,"Chine, RAS de Hong Kong",
Honduras,HND,Latin America & Caribbean,Honduras,Amérique latine et Caraïbes
Heavily indebted poor countries (HIPC),HPC,,Pays pauvres très endettés (PPTE),
Croatia,HRV,Europe & Central Asia,Croatie,
Haiti,HTI,Latin America & Caribbean,Haïti,Amérique latine et Caraïbes
Hungary,HUN,Europe & Central Asia,Hongrie,
Indonesia,IDN,East Asia & Pacific,Indonésie,Asie de l’Est et Pacifique
Isle of Man,IMN,Europe & Central Asia,Île de Man,
India,IND,South Asia,Inde,Asie du Sud
Ireland,IRL,Europe & Central Asia,Irlande,
"Iran, Islamic Rep.",IRN,Middle East & North Africa,"Iran, République islamique d’",Moyen-Orient et Afrique du Nord
Iraq,IRQ,Middle East & North Africa,Iraq,Moyen-Orient et Afrique du Nord
Iceland,ISL,Europe & Central Asia,Islande,
Israel,ISR,Middle East & North Africa,Israël,
Italy,ITA,Europe & Central Asia,Italie,
Jamaica,JAM,Latin America & Caribbean,Jamaïque,Amérique latine et Caraïbes
Jordan,JOR,Middle East & North Africa,Jordanie,Moyen-Orient et Afrique du Nord
Japan,JPN,East Asia & Pacific,Japon,
Kazakhstan,KAZ,Europe & Central Asia,Kazakhstan,Europe et Asie centrale
Kenya,KEN,Sub-Saharan Africa,Kenya,Afrique subsaharienne
Kyrgyz Republic,KGZ,Europe & Central Asia,République kirghize,Europe et Asie centrale
Cambodia,KHM,East Asia & Pacific,Cambodge,Asie de l’Est et Pacifique
Kiribati,KIR,East Asia & Pacific,Kiribati,Asie de l’Est et Pacifique
St. Kitts and Nevis,KNA,Latin America & Caribbean,Saint-Kitts-et-Nevis,
"Korea, Rep.",KOR,East Asia & Pacific,"Corée, République de",
Kosovo,KSV,Europe & Central Asia,Kosovo,Europe et Asie centrale
Kuwait,KWT,Middle East & North Africa,Koweït,
Latin America & Caribbean,LAC,,Amérique latine et Caraïbes,
Lao PDR,LAO,East Asia & Pacific,République démocratique populaire lao,Asie de l’Est et Pacifique
Lebanon,LBN,Middle East & North Africa,Liban,Moyen-Orient et Afrique du Nord
Liberia,LBR,Sub-Saharan Africa,Libéria,Afrique subsaharienne
Libya,LBY,Middle East & North Africa,Libye,Moyen-Orient et Afrique du Nord
St. Lucia,LCA,Latin America & Caribbean,Sainte-Lucie,Amérique latine et Caraïbes
Latin America & Caribbean (all income levels),LCN,,Amérique latine et Caraïbes (tous niveaux de revenu),
Least developed countries: UN classification,LDC,,Pays les moins avancés : classement de l’ONU,
Low income,LIC,,Faible revenu,
Liechtenstein,LIE,Europe & Central Asia,Liechtenstein,
Sri Lanka,LKA,South Asia,Sri Lanka,Asie du Sud
Lower middle income,LMC,,"Revenu intermédiaire, tranche inférieure",
Low & middle income,LMY,,Revenu faible et intermédiaire,
Lesotho,LSO,Sub-Saharan Africa,Lesotho,Afrique subsaharienne
Lithuania,LTU,Europe & Central Asia,Lituanie,
Luxembourg,LUX,Europe & Central Asia,Luxembourg,
Latvia,LVA,Europe & Central Asia,Lettonie,
"Macao SAR, China",MAC,East Asia & Pacific,"Région administrative spéciale de Macao, Chine",
St. Martin (French part),MAF,Latin America & Caribbean,Saint-Martin (fr),
Morocco,MAR,Middle East & North Africa,Maroc,Moyen-Orient et Afrique du Nord
Monaco,MCO,Europe & Central Asia,Monaco,
